t_mono_ns,power_mW,src,valid
277131406688466,1286.144,batt,1
277131456688363,1286.144,batt,1
277131506687531,1286.144,batt,1
277131556690449,1286.144,batt,1
277131606697586,639.790,batt,1
277131656688421,639.790,batt,1
277131706690505,639.790,batt,1
277131756688371,639.790,batt,1
277131806690768,508.178,batt,1
277131856688999,507.905,batt,1
277131906690094,507.905,batt,1
277131956690043,507.905,batt,1
277132006691555,507.905,batt,1
277132056689890,531.175,batt,1
277132106690307,531.175,batt,1
277132156690986,531.175,batt,1
277132206690102,531.175,batt,1
277132256689426,531.175,batt,1
277132306689896,429.763,batt,1
277132356689533,429.763,batt,1
277132406689326,429.763,batt,1
277132456689692,429.763,batt,1
277132506689068,429.763,batt,1
277132556690788,616.637,batt,1
277132606688706,616.637,batt,1
277132656689020,616.637,batt,1
277132706691209,616.637,batt,1
277132756690689,616.637,batt,1
277132806689076,465.227,batt,1
277132856690483,465.227,batt,1
277132906689808,465.227,batt,1
277132956688559,465.227,batt,1
277133006692519,465.227,batt,1
277133056690072,2799.888,batt,1
277133106691323,2799.888,batt,1
277133156691898,2799.888,batt,1
277133206689503,2799.888,batt,1
277133256693150,2799.888,batt,1
277133306691745,2218.550,batt,1
277133356691174,2218.550,batt,1
277133406691592,2218.550,batt,1
277133456689510,2218.550,batt,1
277133506689251,2218.550,batt,1
277133556691908,2536.261,batt,1
277133606689722,2536.261,batt,1
277133656691807,2536.261,batt,1
277133706691131,2536.261,batt,1
277133756690872,2536.261,batt,1
277133806690300,777.989,batt,1
277133856690249,777.989,batt,1
277133906689105,777.989,batt,1
277133956689992,777.989,batt,1
277134006690357,777.989,batt,1
277134056689317,451.742,batt,1
277134106689371,451.742,batt,1
277134156690101,451.742,batt,1
277134206689581,451.742,batt,1
277134256690729,451.742,batt,1
277134306690157,476.120,batt,1
277134356689950,476.120,batt,1
277134406690941,476.120,batt,1
277134456689536,476.120,batt,1
277134506690371,476.120,batt,1
277134556689539,529.880,batt,1
277134606687925,529.880,batt,1
277134656690791,529.880,batt,1
277134706690845,529.880,batt,1
277134756690377,529.880,batt,1
277134806690587,564.069,batt,1
277134856690484,564.069,batt,1
277134906690225,564.069,batt,1
277134956690643,564.069,batt,1
277135006688978,564.069,batt,1
277135056687729,593.423,batt,1
277135106691897,593.423,batt,1
277135156690388,593.423,batt,1
277135206690441,593.423,batt,1
277135256690182,593.423,batt,1
277135306689246,456.636,batt,1
277135356689560,456.636,batt,1
277135406689561,456.636,batt,1
277135456690187,456.636,batt,1
277135506690761,456.636,batt,1
277135556689982,432.217,batt,1
277135606689045,432.217,batt,1
277135656691130,432.217,batt,1
277135706687902,432.217,batt,1
277135756690039,432.217,batt,1
277135806689676,1667.327,batt,1
277135856689729,1667.327,batt,1
277135906690720,1667.327,batt,1
277135956689784,1667.327,batt,1
277136006689316,1667.327,batt,1
277136056689839,2203.258,batt,1
277136106689059,2203.258,batt,1
277136156690206,2203.258,batt,1
277136206689217,2203.258,batt,1
277136256690729,2203.258,batt,1
277136306689428,2085.959,batt,1
277136356687971,2085.959,batt,1
277136406688025,2085.959,batt,1
277136456690682,2085.959,batt,1
277136506694017,2085.959,batt,1
277136556687925,5316.526,batt,1
277136606688395,5316.526,batt,1
277136656687354,5316.526,batt,1
277136706688137,5316.526,batt,1
277136756687930,5316.526,batt,1
277136806695952,5430.168,batt,1
277136856690276,5430.168,batt,1
277136906688142,5430.168,batt,1
277136956687675,5430.168,batt,1
277137006687520,5430.168,batt,1
277137056687521,5822.684,batt,1
277137106687679,5822.684,batt,1
277137156694659,5822.684,batt,1
277137206690910,5822.684,batt,1
277137256688099,5822.684,batt,1
277137306687319,6238.114,batt,1
277137356691956,6238.114,batt,1
277137406687635,6238.114,batt,1
277137456687636,6238.114,batt,1
277137506692533,6238.114,batt,1
277137556689618,5198.684,batt,1
277137606688056,5198.684,batt,1
277137656687172,5198.684,batt,1
277137706690663,5198.684,batt,1
277137756691237,5198.684,batt,1
277137806688635,6034.066,batt,1
277137856688063,6034.066,batt,1
277137906692648,6034.066,batt,1
277137956688378,6034.066,batt,1
277138006687598,6034.066,batt,1
277138056692391,5916.533,batt,1
277138106688018,5916.533,batt,1
277138156687498,5916.533,batt,1
277138206690989,5916.533,batt,1
277138256691667,5916.533,batt,1
277138306688804,6267.442,batt,1
277138356688180,6267.442,batt,1
277138406692817,6267.442,batt,1
277138456687818,6267.442,batt,1
277138506687455,6267.442,batt,1
277138556688706,6417.897,batt,1
277138606687979,6417.897,batt,1
277138656687459,6417.897,batt,1
277138706687565,6417.897,batt,1
277138756690066,6417.897,batt,1
277138806688869,6080.988,batt,1
277138856687933,6080.988,batt,1
277138906688664,6080.988,batt,1
277138956688457,6080.988,batt,1
277139006688093,6080.988,batt,1
277139056692365,5655.037,batt,1
277139106690127,5655.037,batt,1
277139156687316,5655.037,batt,1
277139206687838,5655.037,batt,1
277139256687475,5655.037,batt,1
277139306687476,5647.784,batt,1
277139356687425,5647.784,batt,1
277139406688104,5647.784,batt,1
277139456690449,5647.784,batt,1
277139506689565,6322.635,batt,1
277139556687639,6322.635,batt,1
277139606687276,6322.635,batt,1
277139656689725,6322.635,batt,1
277139706688268,6322.635,batt,1
277139756687957,6469.699,batt,1
277139806690510,6469.699,batt,1
277139856688064,6469.699,batt,1
277139906688325,6469.699,batt,1
277139956687441,6469.699,batt,1
277140006688328,6230.778,batt,1
277140056689944,6230.778,batt,1
277140106687966,6230.778,batt,1
277140156689582,6230.778,batt,1
277140206690989,6230.778,batt,1
277140256688491,6645.960,batt,1
277140306694742,6645.960,batt,1
277140356687660,6645.960,batt,1
277140406687870,6645.960,batt,1
277140456688131,6645.960,batt,1
277140506689643,5389.094,batt,1
277140556687822,5389.094,batt,1
277140606687198,5389.094,batt,1
277140656691470,5389.094,batt,1
277140706689180,5389.094,batt,1
277140756688243,5769.082,batt,1
277140806687411,5769.082,batt,1
277140856688402,5769.082,batt,1
277140906687883,5769.082,batt,1
277140956687728,5769.082,batt,1
277141006689448,4448.369,batt,1
277141056690230,4448.369,batt,1
277141106690440,4448.369,batt,1
277141156689556,4448.369,batt,1
277141206690078,4448.369,batt,1
277141256690079,4626.054,batt,1
277141306691122,4626.054,batt,1
277141356691436,4626.054,batt,1
277141406687115,4626.054,batt,1
277141456687793,4626.054,batt,1
277141506687534,3245.060,batt,1
277141556687327,3245.060,batt,1
277141606687641,3245.060,batt,1
277141656687694,3245.060,batt,1
277141706687487,3245.060,batt,1
277141756687332,3100.610,batt,1
277141806688271,3100.610,batt,1
277141856688481,3100.610,batt,1
277141906691972,3100.610,batt,1
277141956694108,3100.610,batt,1
277142006691818,4658.819,batt,1
277142056690830,4658.819,batt,1
277142106688175,4658.819,batt,1
277142156690989,4658.819,batt,1
277142206693125,4658.819,batt,1
277142256692502,4570.243,batt,1
277142306690940,4570.243,batt,1
277142356687921,4570.243,batt,1
277142406692818,4570.243,batt,1
277142456690215,4570.243,batt,1
277142506689227,4537.917,batt,1
277142556689176,4537.917,batt,1
277142606690532,4537.917,batt,1
277142656689752,4537.917,batt,1
277142706689753,4537.917,batt,1
277142756690692,4474.999,batt,1
277142806690849,4474.999,batt,1
