t_mono_ns,power_mW,src,valid
278274103182139,1073.230,batt,1
278274153183226,1073.230,batt,1
278274203181917,1073.230,batt,1
278274253184306,1073.230,batt,1
278274303184559,481.039,batt,1
278274353186531,481.039,batt,1
278274403187150,481.039,batt,1
278274453184643,481.039,batt,1
278274503186563,481.039,batt,1
278274553186140,452.893,batt,1
278274603185612,452.893,batt,1
278274653186907,452.893,batt,1
278274703186432,452.893,batt,1
278274753184446,452.893,batt,1
278274803187043,522.444,batt,1
278274853186463,522.444,batt,1
278274903186665,522.444,batt,1
278274953188116,522.444,batt,1
278275003185766,522.444,batt,1
278275053212789,2440.815,batt,1
278275103185648,2440.815,batt,1
278275153188766,2440.815,batt,1
278275203186936,2440.815,batt,1
278275253187502,2440.815,batt,1
278275303186922,2490.431,batt,1
278275353187436,2490.431,batt,1
278275403187430,2490.431,batt,1
278275453187006,2490.431,batt,1
278275503184916,2490.431,batt,1
278275553184440,794.986,batt,1
278275603184850,794.986,batt,1
278275653185312,794.986,batt,1
278275703184368,794.986,batt,1
278275753184725,794.986,batt,1
278275803184667,544.443,batt,1
278275853184243,544.443,batt,1
278275903185695,544.443,batt,1
278275953185896,544.443,batt,1
278276003185420,544.443,batt,1
278276053187184,517.546,batt,1
278276103187230,517.546,batt,1
278276153186181,517.546,batt,1
278276203184612,517.546,batt,1
278276253184813,517.546,batt,1
278276303187202,446.765,batt,1
278276353185268,446.765,batt,1
278276403184949,446.765,batt,1
278276453187807,446.765,batt,1
278276503186394,446.765,batt,1
278276553187533,426.008,batt,1
278276603187057,426.008,batt,1
278276653187050,426.008,batt,1
278276703186106,426.008,batt,1
278276753185526,426.008,batt,1
278276803185884,476.097,batt,1
278276853186919,476.097,batt,1
278276903187068,476.097,batt,1
278276953185186,476.097,batt,1
278277003185909,476.097,batt,1
278277053186110,512.774,batt,1
278277103186937,512.774,batt,1
278277153188023,512.774,batt,1
278277203186506,512.774,batt,1
278277253185354,512.774,batt,1
278277303187638,803.559,batt,1
278277353186121,803.559,batt,1
278277403185854,803.559,batt,1
278277453185639,803.559,batt,1
278277503185059,803.559,batt,1
278277553188438,1472.474,batt,1
278277603186295,1472.474,batt,1
278277653186445,1472.474,batt,1
278277703189094,1472.474,batt,1
278277753188202,1472.474,batt,1
