Tracing USDT probes and IO intervals... Ctrl-C to stop.

===== Phase Report (start–stop) =====

-- Summary by Phase --
Phase                                               Count     Avg(ms)     Min(ms)     Max(ms)     Total(ms)
Add (ND)[7,0]                                          55       0.015       0.003       0.166         0.817
Add (ND)[8,0]                                           1       0.002       0.002       0.002         0.002
Add (ND)[9,0]                                           1       0.001       0.001       0.001         0.001
Add (ND)[17,0]                                         55       0.032       0.004       0.296         1.787
Add (ND)[21,0]                                         55       0.001       0.001       0.002         0.067
Add (ND)[25,0]                                          1       0.003       0.003       0.003         0.003
Add (ND)[28,0]                                          1       0.003       0.003       0.003         0.003
Add (ND)[31,0]                                         28       0.067       0.005       0.229         1.865
Add (ND)[32,0]                                         27       0.109       0.042       0.274         2.933
Add (ND)[35,0]                                         28       0.001       0.001       0.002         0.041
Add (ND)[36,0]                                         28       0.011       0.001       0.286         0.317
Add (ND)[39,0]                                          1       0.003       0.003       0.003         0.003
Add (ND)[52,0]                                         27       0.003       0.002       0.003         0.071
Add (ND)[53,0]                                          1       0.003       0.003       0.003         0.003
Add (ND)[55,0]                                         26       0.009       0.003       0.141         0.243
Add (ND)[63,0]                                         27       0.002       0.002       0.003         0.061
Add (ND)[66,0]                                         26       0.003       0.002       0.009         0.081
Batch Matrix Multiply (NC, F32)[5,0]                   55       0.289       0.178       0.572        15.888
Batch Matrix Multiply (NC, F32)[12,0]                  55       0.235       0.123       0.561        12.914
Copy (NC, X32)[26,0]                                    1       0.003       0.003       0.003         0.003
Copy (NC, X32)[26,1]                                    1       0.003       0.003       0.003         0.003
Copy (NC, X32)[29,0]                                    1       0.004       0.004       0.004         0.004
Copy (NC, X32)[29,1]                                    1       0.003       0.003       0.003         0.003
Copy (NC, X32)[37,0]                                    1       0.140       0.140       0.140         0.140
Copy (NC, X32)[37,1]                                    1       0.127       0.127       0.127         0.127
Copy (NC, X32)[40,0]                                    1       0.003       0.003       0.003         0.003
Copy (NC, X32)[40,1]                                    1       0.002       0.002       0.002         0.002
Copy (NC, X32)[53,0]                                   27       0.003       0.002       0.010         0.075
Copy (NC, X32)[53,1]                                   27       0.003       0.002       0.030         0.094
Copy (NC, X32)[54,0]                                    1       0.003       0.003       0.003         0.003
Copy (NC, X32)[54,1]                                    1       0.003       0.003       0.003         0.003
Copy (NC, X32)[56,0]                                   26       0.006       0.003       0.037         0.147
Copy (NC, X32)[56,1]                                   26       0.004       0.003       0.016         0.110
Copy (NC, X32)[64,0]                                   27       0.002       0.002       0.008         0.066
Copy (NC, X32)[64,1]                                   27       0.004       0.002       0.053         0.109
Copy (NC, X32)[67,0]                                   26       0.020       0.003       0.373         0.509
Copy (NC, X32)[67,1]                                   26       0.011       0.002       0.224         0.293
Cosine (NC)[3,0]                                        2       0.307       0.003       0.612         0.615
