=== XNNPack Weight Cache Structure Dump ===

File Information:
  Total file size: 3223411056 bytes (3074.08 MB)
  File path: ../../models/Llama3.2-3B/llama3.2_q8_ekv1024.xnnpack_cache

Header Information:
  Version: 1 (expected: 1)
  XNNPack build identifier: 13d04b936010b008d5c17c7df1ed3d811c776536d7f2f47233cd8b4bd4337db2
  Buffer list offset: 3223403648 bytes (3074.08 MB)
  Buffer list size: 7408 bytes
  Data section size: 3223403592 bytes (3074.08 MB)

FlatBuffer BufferList Information:
  Base offset: 128 bytes
  Number of buffers: 141

Buffer Details:
Index  | Pack Algo ID | Weights ID   | Bias ID      | Offset     | Size       | Absolute Addr    | Memory Range
---------------------------------------------------------------------------------------------------------
0      | 6222         | 198          | None         | 0          | 15790080   | 0x7bb3d3200080   | [128-15790207]
1      | 78           | 197          | None         | 15790080   | 9474048    | 0x7bb3d410f080   | [15790208-25264255]
2      | 11342        | 196          | None         | 25264128   | 25264128   | 0x7bb3d4a18080   | [25264256-50528383]
3      | 11342        | 195          | None         | 50528256   | 25264128   | 0x7bb3d6230080   | [50528384-75792511]
4      | 11342        | 194          | None         | 75792384   | 25202688   | 0x7bb3d7a48080   | [75792512-100995199]
5      | 6222         | 193          | None         | 100995072  | 15790080   | 0x7bb3d9251080   | [100995200-116785279]
6      | 78           | 192          | None         | 116785152  | 9474048    | 0x7bb3da160080   | [116785280-126259327]
7      | 11342        | 191          | None         | 126259200  | 25264128   | 0x7bb3daa69080   | [126259328-151523455]
8      | 11342        | 190          | None         | 151523328  | 25264128   | 0x7bb3dc281080   | [151523456-176787583]
9      | 11342        | 189          | None         | 176787456  | 25202688   | 0x7bb3dda99080   | [176787584-201990271]
10     | 6222         | 188          | None         | 201990144  | 15790080   | 0x7bb3df2a2080   | [201990272-217780351]
11     | 78           | 187          | None         | 217780224  | 9474048    | 0x7bb3e01b1080   | [217780352-227254399]
12     | 11342        | 186          | None         | 227254272  | 25264128   | 0x7bb3e0aba080   | [227254400-252518527]
13     | 11342        | 185          | None         | 252518400  | 25264128   | 0x7bb3e22d2080   | [252518528-277782655]
14     | 11342        | 184          | None         | 277782528  | 25202688   | 0x7bb3e3aea080   | [277782656-302985343]
15     | 6222         | 183          | None         | 302985216  | 15790080   | 0x7bb3e52f3080   | [302985344-318775423]
16     | 78           | 182          | None         | 318775296  | 9474048    | 0x7bb3e6202080   | [318775424-328249471]
