t_mono_ns,power_W,src,valid
2679479678026602,0.741480,batt,1
2679479778272236,2.253801,batt,1
2679479878311261,2.253801,batt,1
2679479978819125,2.253801,batt,1
2679480078888931,2.387978,batt,1
2679480178324329,2.387978,batt,1
2679480278871099,2.234921,batt,1
2679480378487741,2.234921,batt,1
2679480478597702,2.234921,batt,1
2679480579289675,0.806349,batt,1
2679480678493622,0.806349,batt,1
2679480778262396,0.414038,batt,1
2679480878497665,0.414038,batt,1
2679480979228127,0.414038,batt,1
2679481079229549,0.416452,batt,1
2679481179219357,0.416452,batt,1
2679481278781314,0.422541,batt,1
2679481379237305,0.422541,batt,1
2679481478217561,0.422541,batt,1
2679481578709437,1.676464,batt,1
2679481678247384,1.676464,batt,1
2679481779217161,0.725416,batt,1
2679481879239312,0.725416,batt,1
2679481979230630,0.394476,batt,1
2679482079231011,0.394476,batt,1
2679482179235558,0.394476,batt,1
2679482279222085,0.422520,batt,1
2679482378436031,0.422520,batt,1
2679482478509951,0.625198,batt,1
2679482579207446,0.625198,batt,1
2679482678447798,0.625198,batt,1
2679482778237247,1.631743,batt,1
2679482878240076,1.631743,batt,1
2679482978230040,2.709367,batt,1
2679483078284377,2.709367,batt,1
2679483178234134,2.709367,batt,1
2679483278359407,2.780864,batt,1
2679483378237291,2.780864,batt,1
2679483478218349,3.049182,batt,1
2679483578236125,3.049182,batt,1
2679483678227600,3.049182,batt,1
2679483778230793,2.996405,batt,1
2679483878231694,2.996405,batt,1
2679483978229262,2.673495,batt,1
2679484078242194,2.673495,batt,1
2679484178231586,2.673495,batt,1
2679484278230925,3.127581,batt,1
2679484378412341,3.127581,batt,1
2679484478230592,2.805057,batt,1
2679484578224046,2.805057,batt,1
2679484678226510,2.805057,batt,1
2679484778229598,2.975400,batt,1
2679484878261801,2.975400,batt,1
2679484978228693,2.917097,batt,1
2679485078239125,2.917097,batt,1
2679485178234298,2.917097,batt,1
2679485278230303,2.828441,batt,1
2679485378276464,2.828441,batt,1
2679485478230960,2.915057,batt,1
2679485578229726,2.915057,batt,1
2679485678238856,2.915057,batt,1
2679485778366108,3.153909,batt,1
2679485878276908,3.153909,batt,1
2679485978228957,2.861410,batt,1
2679486078402353,2.861410,batt,1
2679486178296330,2.861410,batt,1
2679486278308950,4.115618,batt,1
2679486378230271,4.115618,batt,1
2679486478222631,2.705915,batt,1
2679486578218793,2.705915,batt,1
2679486678221204,2.705915,batt,1
2679486778227522,2.702800,batt,1
2679486878325243,2.702800,batt,1
2679486978297917,4.408337,batt,1
2679488624808705,1.178993,batt,1
2679490242137797,1.180599,batt,1
2679490247994803,1.180599,batt,1
2679490251963586,1.180599,batt,1
2679490255868777,1.180599,batt,1
2679490258063396,1.180599,batt,1
2679490261398448,1.180599,batt,1
2679490265800603,1.180599,batt,1
2679490268566403,1.180599,batt,1
2679490271312099,1.180599,batt,1
2679490272381076,1.180599,batt,1
2679490273449115,1.180599,batt,1
2679490275129272,1.180599,batt,1
2679490276755471,1.180599,batt,1
2679490278942018,1.180599,batt,1
2679490280072764,1.180599,batt,1
2679490282244415,1.180599,batt,1
2679490285060942,1.180599,batt,1
2679490286254238,1.180599,batt,1
2679490287449982,1.180599,batt,1
2679490288567968,1.180599,batt,1
2679490289653924,1.180599,batt,1
2679490290822638,1.180599,batt,1
2679490291874584,1.180599,batt,1
2679490292977571,1.180599,batt,1
2679490293554532,1.180599,batt,1
2679490295710142,1.180599,batt,1
2679490296296999,1.180599,batt,1
2679490297360455,1.180599,batt,1
2679490299037174,1.180599,batt,1
2679490299613354,1.180599,batt,1
2679490300690456,1.180599,batt,1
2679490301754590,1.180599,batt,1
2679490378233149,1.180599,batt,1
2679490478466856,0.582402,batt,1
2679490579211641,0.582402,batt,1
2679490679220302,0.417628,batt,1
2679490779233859,0.417628,batt,1
2679490878440619,0.417628,batt,1
2679490979225194,0.715695,batt,1
2679491079221408,0.715695,batt,1
2679491178262651,0.405451,batt,1
