t_mono_ns,power_W,src,valid
2679506805331021,0.390860,batt,1
2679506905552697,1.720464,batt,1
2679507005928795,1.720464,batt,1
2679507105916364,2.843891,batt,1
2679507206083614,2.843891,batt,1
2679507305651716,2.843891,batt,1
2679507406219371,2.275030,batt,1
2679507506138348,2.275030,batt,1
2679507605718950,1.836283,batt,1
2679507705749850,1.836283,batt,1
2679507805919027,1.836283,batt,1
2679507905542597,0.575144,batt,1
2679508006554092,0.575144,batt,1
2679508105548410,0.405471,batt,1
2679508205815136,0.405471,batt,1
2679508305797340,0.405471,batt,1
2679508406516761,0.471363,batt,1
2679508506517558,0.471363,batt,1
2679508605520782,0.400623,batt,1
2679508705559860,0.400623,batt,1
2679508805537845,0.400623,batt,1
2679508905566766,1.088252,batt,1
2679509005742350,1.088252,batt,1
2679509105801114,0.415255,batt,1
2679509206521576,0.415255,batt,1
2679509306545029,0.556516,batt,1
2679509405802412,0.556869,batt,1
2679509506522301,0.556869,batt,1
2679509605785153,0.416492,batt,1
2679509705535905,0.416492,batt,1
2679509805515974,1.155878,batt,1
2679509905531094,1.155878,batt,1
2679510005690480,1.155878,batt,1
2679510105539563,2.189818,batt,1
2679510205533746,2.189818,batt,1
2679510305706881,2.622945,batt,1
2679510405536851,2.622945,batt,1
2679510505741600,2.622945,batt,1
2679510605533810,2.774284,batt,1
2679510705659499,2.774284,batt,1
2679510805778522,3.119253,batt,1
2679510905524275,3.119253,batt,1
2679511005546582,3.119253,batt,1
2679511105557639,2.768989,batt,1
2679511205576613,2.768989,batt,1
2679511305727041,3.011624,batt,1
2679511405704297,3.011624,batt,1
2679511505555568,3.011624,batt,1
2679511605713183,3.010393,batt,1
2679511705625076,3.010393,batt,1
2679511805620509,3.356454,batt,1
2679511905543965,3.356454,batt,1
2679512005571949,3.356454,batt,1
2679512105883674,3.616941,batt,1
2679512205793797,3.616941,batt,1
2679512305604392,3.288418,batt,1
2679512405555295,3.288418,batt,1
2679512505549478,3.288418,batt,1
2679512605559493,3.521452,batt,1
2679512705744608,3.521452,batt,1
2679512805739520,2.641345,batt,1
2679512905584488,2.641345,batt,1
2679513005551589,2.641345,batt,1
2679513105565042,3.353412,batt,1
2679513205851924,3.353412,batt,1
2679513305690955,3.334253,batt,1
2679513405567537,3.334253,batt,1
2679513505555835,3.334253,batt,1
2679513605644598,3.131910,batt,1
2679513705765860,3.131910,batt,1
2679513805558747,2.707430,batt,1
2679513905548868,2.707430,batt,1
2679514005692473,2.707430,batt,1
2679514105798007,3.357647,batt,1
2679514205638444,3.357647,batt,1
2679514305569296,2.951340,batt,1
2679514405549885,2.951340,batt,1
2679514505602035,2.951340,batt,1
2679514605792149,3.677967,batt,1
2679514705545767,3.677967,batt,1
2679514805710048,2.855667,batt,1
2679514905559704,2.855667,batt,1
2679515005565554,2.855667,batt,1
2679515105574371,2.934759,batt,1
2679515205671884,2.934759,batt,1
2679515305552529,2.571769,batt,1
2679515405673375,2.571769,batt,1
2679515505644485,2.571769,batt,1
2679515605622523,3.168405,batt,1
2679515705558009,3.168405,batt,1
2679515805584900,3.111556,batt,1
